,min,max,mean,std,n_nan
study,2.0,2.0,2.0,0.0,0
wave,3.0,7.0,5.453,1.436,0
country_code,8.0,909.0,454.505,259.0,0
weight_raw,0.037,22.791,1.0,0.391,0
weight,0.245,4.167,0.695,0.255,0
year,1995.0,2023.0,2009.59,8.312,0
trust,0.0,1.0,0.252,0.434,11278
luck_belief,1.0,10.0,4.325,2.892,0
just_benefits,1.0,10.0,2.738,2.542,6761
just_steal,1.0,10.0,1.821,1.807,140874
just_taxes,1.0,10.0,2.314,2.231,6791
just_bribe,1.0,10.0,1.926,1.91,2436
just_divorce,1.0,10.0,4.869,3.134,6168
sex,1.0,2.0,1.521,0.5,266
age,15.0,103.0,42.027,16.428,963
education,1.0,8.0,4.774,2.209,109498
employment,1.0,8.0,3.27,2.146,8308
income_decile,1.0,10.0,4.767,2.242,20259
norm_index,-0.684,4.526,-0.001,0.798,0
luck_belief_z,-1.15,1.962,-0.0,1.0,0
female,0.0,1.0,0.521,0.5,266
age_sq,225.0,10609.0,2036.144,1536.057,963
gini,22.9,63.6,37.347,8.425,28424
gini_c,-14.447,26.253,0.0,8.425,28424
gdp_pc,1109.143,133453.896,25808.16,22877.392,7878
gdp_pc_1000_c,-24.699,107.646,0.0,22.877,7878
