,luck_belief,norm_index,just_benefits,just_taxes,just_bribe,just_steal,trust,just_divorce,income_decile,gini,gdp_pc
luck_belief,1.0,0.135,0.085,0.123,0.11,0.132,-0.009,0.091,-0.011,-0.059,0.068
norm_index,0.135,1.0,0.722,0.82,0.824,0.841,-0.023,0.133,0.023,0.089,-0.08
just_benefits,0.085,0.722,1.0,0.406,0.395,0.419,-0.031,0.046,-0.001,0.096,-0.075
just_taxes,0.123,0.82,0.406,1.0,0.568,0.614,-0.009,0.153,0.025,0.016,-0.052
just_bribe,0.11,0.824,0.395,0.568,1.0,0.669,-0.021,0.118,0.02,0.095,-0.072
just_steal,0.132,0.841,0.419,0.614,0.669,1.0,0.005,0.109,0.045,0.112,-0.05
trust,-0.009,-0.023,-0.031,-0.009,-0.021,0.005,1.0,0.098,0.088,-0.161,0.192
just_divorce,0.091,0.133,0.046,0.153,0.118,0.109,0.098,1.0,0.078,-0.219,0.286
income_decile,-0.011,0.023,-0.001,0.025,0.02,0.045,0.088,0.078,1.0,-0.08,0.113
gini,-0.059,0.089,0.096,0.016,0.095,0.112,-0.161,-0.219,-0.08,1.0,-0.391
gdp_pc,0.068,-0.08,-0.075,-0.052,-0.072,-0.05,0.192,0.286,0.113,-0.391,1.0
