,count,mean,std,min,25%,50%,75%,max,missing_pct
luck_belief,322373.0,4.325,2.892,1.0,2.0,4.0,6.0,10.0,0.0
norm_index,322373.0,-0.001,0.798,-0.684,-0.553,-0.329,0.306,4.526,0.0
just_benefits,315612.0,2.738,2.542,1.0,1.0,1.0,4.0,10.0,2.097
just_taxes,315582.0,2.314,2.231,1.0,1.0,1.0,3.0,10.0,2.107
just_bribe,319937.0,1.926,1.91,1.0,1.0,1.0,2.0,10.0,0.756
just_steal,181499.0,1.821,1.807,1.0,1.0,1.0,2.0,10.0,43.699
trust,311095.0,0.252,0.434,0.0,0.0,0.0,1.0,1.0,3.498
age,321410.0,42.027,16.428,15.0,28.0,40.0,54.0,103.0,0.299
income_decile,302114.0,4.767,2.242,1.0,3.0,5.0,6.0,10.0,6.284
gini,293949.0,37.347,8.425,22.9,31.0,36.5,42.3,63.6,8.817
gdp_pc,314495.0,25808.16,22877.392,1109.143,10035.014,17433.687,38301.513,133453.896,2.444
