outcome,spec,term,coef_baseline,coef_with_gdp,pct_change
norm_index,M2,luck_belief_z,0.0838,0.085,1.4
norm_index,M3,gini_c,0.0206,0.0214,3.6
norm_index,M3,luck_belief_z:gini_c,0.0038,0.0038,2.0
just_benefits,M2,luck_belief_z,0.1878,0.188,0.1
just_benefits,M3,gini_c,0.0073,0.0062,15.1
just_benefits,M3,luck_belief_z:gini_c,0.0074,0.0078,5.4
just_taxes,M2,luck_belief_z,0.2017,0.2046,1.4
just_taxes,M3,gini_c,0.04,0.0443,10.6
just_taxes,M3,luck_belief_z:gini_c,0.0063,0.0064,1.1
just_bribe,M2,luck_belief_z,0.1608,0.1638,1.9
just_bribe,M3,gini_c,0.0691,0.0676,2.2
just_bribe,M3,luck_belief_z:gini_c,0.01,0.0101,1.1
just_steal,M2,luck_belief_z,0.1862,0.1873,0.6
just_steal,M3,gini_c,0.0237,0.0242,2.3
just_steal,M3,luck_belief_z:gini_c,0.0099,0.0098,1.0
trust,M2,luck_belief_z,-0.0098,-0.0108,9.9
trust,M3,gini_c,0.0037,0.0025,31.6
trust,M3,luck_belief_z:gini_c,0.001,0.001,2.2
just_divorce,M2,luck_belief_z,0.131,0.1303,0.5
just_divorce,M3,gini_c,-0.0909,-0.1024,12.7
just_divorce,M3,luck_belief_z:gini_c,-0.0019,-0.0017,11.5
