country_code,wave,n,luck_belief_missing_pct,just_benefits_missing_pct,just_taxes_missing_pct,just_bribe_missing_pct,just_steal_missing_pct
8,3,973,0.0,7.3,5.4,2.6,100.0
12,6,1118,0.0,6.2,4.3,1.8,1.3
20,5,997,0.0,0.7,0.2,0.4,100.0
20,7,1002,0.0,0.6,0.2,0.2,0.0
31,3,1877,0.0,6.7,2.9,2.9,100.0
31,6,1002,0.0,0.0,0.0,0.0,0.0
32,3,1059,0.0,1.0,0.3,0.5,100.0
32,5,958,0.0,5.6,1.0,0.7,100.0
32,6,974,0.0,1.7,0.8,0.9,1.2
32,7,973,0.0,1.5,1.5,0.9,1.5
36,3,2033,0.0,0.3,0.3,0.2,100.0
36,5,1372,0.0,0.2,0.6,0.7,100.0
36,6,1446,0.0,0.1,0.3,0.2,0.6
36,7,1781,0.0,0.2,0.4,0.3,0.3
50,3,1499,0.0,2.4,4.3,0.7,100.0
50,7,1200,0.0,0.0,0.0,0.0,0.0
51,3,1942,0.0,2.2,1.9,1.1,100.0
51,6,1077,0.0,0.7,0.9,0.6,0.2
51,7,1212,0.0,0.9,0.3,0.4,0.2
68,7,2029,0.0,2.7,1.2,1.3,0.1
70,3,1192,0.0,0.6,0.6,0.2,100.0
76,3,1136,0.0,0.4,0.9,0.2,100.0
76,5,1479,0.0,0.6,0.8,1.2,100.0
76,6,1459,0.0,0.7,1.1,0.4,0.1
76,7,1690,0.0,1.8,1.7,0.8,0.6
100,3,1015,0.0,1.1,1.7,2.9,100.0
100,5,972,0.0,1.6,1.3,1.6,100.0
104,7,1200,0.0,0.1,0.0,0.0,0.1
112,3,1991,0.0,6.7,6.5,2.2,100.0
112,6,1531,0.0,0.3,0.4,0.2,0.3
124,5,2122,0.0,0.7,0.5,0.7,100.0
124,7,4018,0.0,0.0,0.0,0.0,0.0
152,3,995,0.0,1.8,1.8,1.2,100.0
152,5,975,0.0,3.7,1.6,1.5,100.0
152,6,973,0.0,1.4,1.5,2.2,0.1
152,7,965,0.0,2.8,0.3,0.6,0.4
156,3,1447,0.0,7.9,0.5,0.1,100.0
156,5,1615,0.0,14.6,4.5,5.9,100.0
156,6,1837,0.0,0.6,4.0,2.9,0.8
156,7,3019,0.0,0.3,0.3,0.4,0.1
158,3,766,0.0,0.9,0.4,0.4,100.0
158,5,1222,0.0,0.6,0.2,0.0,100.0
158,6,1183,0.0,3.2,0.8,0.8,0.4
158,7,1223,0.0,0.0,0.0,0.0,0.0
170,5,3006,0.0,0.8,0.3,0.5,100.0
170,6,1493,0.0,0.5,0.2,0.0,0.1
170,7,1520,0.0,0.0,0.0,0.0,0.0
191,3,1186,0.0,0.5,1.9,0.2,100.0
196,5,1043,0.0,0.0,0.1,0.1,100.0
196,6,992,0.0,1.1,0.7,0.4,0.0
196,7,986,0.0,1.5,0.6,0.8,0.8
203,3,1106,0.0,2.2,2.2,0.8,100.0
203,7,1190,0.0,0.8,0.5,0.5,0.2
214,3,413,0.0,1.9,1.7,2.4,100.0
218,6,1200,0.0,0.2,0.0,0.1,0.0
218,7,1191,0.0,1.6,0.8,0.8,0.3
222,3,1193,0.0,2.6,1.1,1.3,100.0
231,5,1485,0.0,0.1,0.3,0.3,100.0
231,7,1225,0.0,0.3,1.1,0.3,0.1
233,3,1006,0.0,4.2,2.6,0.9,100.0
233,6,1503,0.0,3.2,1.5,0.7,0.2
246,3,972,0.0,1.4,0.5,0.1,100.0
246,5,1011,0.0,0.0,0.2,0.2,100.0
250,5,997,0.0,0.4,0.1,0.2,100.0
268,3,1976,0.0,1.8,0.9,0.3,100.0
268,5,1436,0.0,2.3,1.5,0.8,100.0
268,6,1193,0.0,0.3,0.2,0.1,0.0
275,6,974,0.0,2.0,0.9,0.3,0.1
276,3,1987,0.0,0.3,0.7,0.5,100.0
276,5,1995,0.0,0.9,0.6,0.5,100.0
276,6,2033,0.0,0.5,100.0,1.1,0.0
276,7,1516,0.0,0.7,0.5,0.3,0.0
288,5,1512,0.0,1.3,1.0,0.7,100.0
288,6,1552,0.0,0.0,0.0,0.0,0.0
300,7,1195,0.0,0.3,0.3,0.4,0.3
320,7,1203,0.0,0.4,1.2,0.9,0.5
332,6,1938,0.0,0.4,0.1,0.0,0.1
344,6,996,0.0,0.0,0.4,0.2,0.3
344,7,2072,0.0,0.3,0.1,0.1,0.0
348,3,623,0.0,3.0,1.3,0.5,100.0
348,5,995,0.0,0.2,0.2,0.5,100.0
356,3,1845,0.0,2.7,1.8,1.3,100.0
356,5,1647,0.0,6.2,7.7,5.2,100.0
356,6,3792,0.0,0.1,0.3,0.4,0.1
356,7,1650,0.0,1.3,1.6,0.7,0.1
360,5,1923,0.0,1.7,0.6,0.3,100.0
360,7,3192,0.0,0.5,0.2,0.3,0.1
364,5,2649,0.0,1.3,0.5,0.3,100.0
364,7,1493,0.0,1.9,0.6,0.1,0.2
368,6,1189,0.0,1.5,3.1,0.3,0.4
368,7,1200,0.0,0.0,0.0,0.0,0.0
380,5,972,0.0,0.4,0.2,0.5,100.0
392,3,956,0.0,2.5,0.5,0.5,100.0
392,5,1040,0.0,2.1,0.3,0.3,100.0
392,6,2196,0.0,4.0,0.6,0.7,0.5
392,7,1262,0.0,2.3,0.2,0.5,0.1
398,6,1500,0.0,0.0,0.0,0.0,0.0
398,7,1235,0.0,3.5,2.6,1.3,1.0
400,5,1160,0.0,6.3,1.9,0.1,100.0
400,6,1200,0.0,0.7,0.0,0.0,0.3
400,7,1201,0.0,1.7,0.7,0.2,0.1
404,7,1236,0.0,0.8,1.1,1.1,1.6
410,3,1245,0.0,100.0,0.2,0.1,100.0
410,5,1200,0.0,0.2,0.2,0.1,100.0
410,6,1195,0.0,0.5,0.2,0.2,0.6
410,7,1245,0.0,0.0,0.0,0.0,0.0
414,6,1255,0.0,3.0,6.2,2.9,2.1
