outcome,spec,term,coef,se,p,n,r2,underpowered
norm_index,M1,luck_belief_z,0.0967,0.014,0.0,195997,0.0356,False
norm_index,M2,luck_belief_z,0.0838,0.008,0.0,195997,0.1325,False
norm_index,M3,luck_belief_z,0.0828,0.0076,0.0,182760,0.1292,False
norm_index,M3,gini_c,0.0206,0.0099,0.0365,182760,0.1292,False
norm_index,M3,luck_belief_z:gini_c,0.0038,0.0015,0.0128,182760,0.1292,False
norm_index,M1_unadjusted,luck_belief_z,0.0957,0.0106,0.0,322373,0.0149,False
norm_index,M2_unadjusted_EXTRA,luck_belief_z,0.0854,0.0059,0.0,322373,0.1126,False
just_benefits,M1,luck_belief_z,0.179,0.0307,0.0,191482,0.0182,False
just_benefits,M2,luck_belief_z,0.1878,0.0186,0.0,191482,0.1165,False
just_benefits,M3,luck_belief_z,0.1835,0.0175,0.0,178433,0.1157,False
just_benefits,M3,gini_c,0.0073,0.0263,0.7822,178433,0.1157,False
just_benefits,M3,luck_belief_z:gini_c,0.0074,0.0032,0.0209,178433,0.1157,False
just_benefits,M1_unadjusted,luck_belief_z,0.1943,0.0243,0.0,315612,0.0059,False
just_benefits,M2_unadjusted_EXTRA,luck_belief_z,0.1946,0.0144,0.0,315612,0.1005,False
just_taxes,M1,luck_belief_z,0.2703,0.0332,0.0,190923,0.0261,False
just_taxes,M2,luck_belief_z,0.2017,0.0187,0.0,190923,0.1059,False
just_taxes,M3,luck_belief_z,0.2005,0.0179,0.0,177857,0.1007,False
just_taxes,M3,gini_c,0.04,0.0189,0.0341,177857,0.1007,False
just_taxes,M3,luck_belief_z:gini_c,0.0063,0.0034,0.0641,177857,0.1007,False
just_taxes,M1_unadjusted,luck_belief_z,0.2486,0.0247,0.0,315582,0.0126,False
just_taxes,M2_unadjusted_EXTRA,luck_belief_z,0.2013,0.0135,0.0,315582,0.0857,False
just_bribe,M1,luck_belief_z,0.1843,0.0331,0.0,194653,0.0247,False
just_bribe,M2,luck_belief_z,0.1608,0.0178,0.0,194653,0.1031,False
just_bribe,M3,luck_belief_z,0.1584,0.0157,0.0,181505,0.1063,False
just_bribe,M3,gini_c,0.0691,0.0314,0.0278,181505,0.1063,False
just_bribe,M3,luck_belief_z:gini_c,0.01,0.003,0.0008,181505,0.1063,False
just_bribe,M1_unadjusted,luck_belief_z,0.1853,0.0251,0.0,319937,0.0096,False
just_bribe,M2_unadjusted_EXTRA,luck_belief_z,0.1652,0.0132,0.0,319937,0.094,False
just_steal,M1,luck_belief_z,0.2325,0.0661,0.0004,78521,0.0304,False
just_steal,M2,luck_belief_z,0.1862,0.0277,0.0,78521,0.1553,False
just_steal,M3,luck_belief_z,0.1862,0.0289,0.0,69676,0.13,False
just_steal,M3,gini_c,0.0237,0.0006,0.0,69676,0.13,False
just_steal,M3,luck_belief_z:gini_c,0.0099,0.0053,0.0643,69676,0.13,False
just_steal,M1_unadjusted,luck_belief_z,0.2036,0.0351,0.0,181499,0.0136,False
just_steal,M2_unadjusted_EXTRA,luck_belief_z,0.1691,0.0156,0.0,181499,0.1128,False
trust,M1,luck_belief_z,-0.0061,0.0042,0.1452,187606,0.022,False
trust,M2,luck_belief_z,-0.0098,0.0022,0.0,187606,0.1325,False
trust,M3,luck_belief_z,-0.0104,0.0022,0.0,174813,0.1369,False
trust,M3,gini_c,0.0037,0.0033,0.257,174813,0.1369,False
trust,M3,luck_belief_z:gini_c,0.001,0.0003,0.0004,174813,0.1369,False
trust,M1_unadjusted,luck_belief_z,-0.0046,0.0033,0.1648,311095,0.0001,False
trust,M2_unadjusted_EXTRA,luck_belief_z,-0.0081,0.0019,0.0,311095,0.1174,False
just_divorce,M1,luck_belief_z,0.2992,0.0396,0.0,192349,0.0307,False
just_divorce,M2,luck_belief_z,0.131,0.0154,0.0,192349,0.2375,False
just_divorce,M3,luck_belief_z,0.1364,0.0155,0.0,179294,0.2443,False
just_divorce,M3,gini_c,-0.0909,0.032,0.0046,179294,0.2443,False
just_divorce,M3,luck_belief_z:gini_c,-0.0019,0.0022,0.3853,179294,0.2443,False
