group_type,group,n,alpha
country,8,0,
country,12,1013,0.681
country,20,992,0.5828
country,31,1002,0.6453
country,32,1874,0.6089
country,36,3197,0.7342
country,50,1200,0.6751
country,51,2248,0.5926
country,68,1938,0.507
country,70,0,
country,76,3062,0.6533
country,100,0,
country,104,1198,0.5484
country,112,1515,0.8052
country,124,4018,0.8758
country,152,1860,0.7375
country,156,4727,0.6552
country,158,2357,0.6223
country,170,3002,0.5853
country,191,0,
country,196,1937,0.809
country,203,1175,0.8468
country,214,0,
country,218,2355,0.726
country,222,0,
country,231,1208,0.959
country,233,1433,0.6031
country,246,0,
country,250,0,
country,268,1188,0.6021
country,275,949,0.681
country,276,1498,0.5064
country,288,1552,0.7563
country,300,1182,0.6611
country,320,1167,0.7635
country,332,1929,0.8937
country,344,3048,0.7667
country,348,0,
country,356,5367,0.7912
country,360,3165,0.632
country,364,1461,0.6043
country,368,2336,0.8237
country,380,0,
country,392,3316,0.7159
country,398,2658,0.7736
country,400,2362,0.6086
country,404,1201,0.8383
country,410,2425,0.828
country,414,1131,0.7373
country,417,2588,0.6721
country,422,2334,0.7461
country,428,0,
country,434,2711,0.771
country,440,0,
country,446,1014,0.9216
country,458,2613,0.8903
country,462,1029,0.7465
country,466,0,
country,484,3660,0.6208
country,496,1635,0.868
country,498,0,
country,499,0,
country,504,2101,0.8407
country,528,3570,0.7317
country,554,1716,0.7934
country,558,1200,0.635
country,566,2987,0.8454
country,578,0,
country,586,3067,0.7888
country,604,2431,0.6915
country,608,2391,0.7193
country,616,884,0.6384
country,630,1104,0.5905
country,634,0,
country,642,2585,0.7032
country,643,3780,0.7803
country,646,1527,0.8524
country,688,955,0.9386
country,702,3956,0.8714
country,703,1170,0.8552
country,704,1200,0.7407
country,705,1015,0.6849
country,710,3420,0.9486
country,716,2709,0.8589
country,724,1121,0.7144
country,752,1117,0.7793
country,756,0,
country,762,1200,0.791
country,764,2619,0.7998
country,780,969,0.7744
country,788,2245,0.6267
country,792,3930,0.9009
country,804,2601,0.7863
country,807,0,
country,818,2659,0.7927
country,826,2523,0.7347
country,840,4656,0.8282
country,854,0,
country,858,1844,0.6525
country,860,2556,0.6685
country,862,1190,0.6179
country,887,753,0.6102
country,894,0,
country,909,441,0.6393
wave,3,0,
wave,5,0,
wave,6,81471,0.8181
wave,7,93551,0.7786
