study,wave,country_code,weight_raw,weight,year,trust,luck_belief,just_benefits,just_steal,just_taxes,just_bribe,just_divorce,sex,age,education,employment,income_decile,norm_index,luck_belief_z,country_wave,female,age_sq,dual_reporting,gini,gini_c,gdp_pc,gdp_pc_1000_c
2.0,3,8,1.0,1.001001,1998,0.0,3.0,8.0,,2.0,1.0,5.0,2.0,18.0,3.0,6.0,5.0,0.48129815170486107,-0.4582733404023898,8_3,1.0,324.0,False,36.1,-1.2470898012920557,5387.54588745977,-20.42061399611169
2.0,3,8,1.0,1.001001,1998,0.0,4.0,7.0,,1.0,2.0,5.0,1.0,18.0,4.0,6.0,4.0,0.37530166017582167,-0.11245020554328566,8_3,0.0,324.0,False,36.1,-1.2470898012920557,5387.54588745977,-20.42061399611169
2.0,3,8,1.0,1.001001,1998,0.0,2.0,5.0,,2.0,2.0,5.0,2.0,24.0,2.0,,3.0,0.26242757199685174,-0.804096475261494,8_3,1.0,576.0,False,36.1,-1.2470898012920557,5387.54588745977,-20.42061399611169
2.0,3,8,1.0,1.001001,1998,0.0,3.0,5.0,,2.0,2.0,4.0,1.0,26.0,3.0,1.0,6.0,0.26242757199685174,-0.4582733404023898,8_3,0.0,676.0,False,36.1,-1.2470898012920557,5387.54588745977,-20.42061399611169
2.0,3,8,1.0,1.001001,1998,1.0,2.0,5.0,,2.0,2.0,4.0,2.0,30.0,2.0,,3.0,0.26242757199685174,-0.804096475261494,8_3,1.0,900.0,False,36.1,-1.2470898012920557,5387.54588745977,-20.42061399611169
2.0,3,8,1.0,1.001001,1998,0.0,1.0,7.0,,2.0,1.0,5.0,2.0,38.0,8.0,2.0,4.0,0.3501726843762299,-1.1499196101205982,8_3,1.0,1444.0,False,36.1,-1.2470898012920557,5387.54588745977,-20.42061399611169
2.0,3,8,1.0,1.001001,1998,1.0,3.0,5.0,,2.0,2.0,5.0,1.0,35.0,2.0,3.0,3.0,0.26242757199685174,-0.4582733404023898,8_3,0.0,1225.0,False,36.1,-1.2470898012920557,5387.54588745977,-20.42061399611169
2.0,3,8,1.0,1.001001,1998,0.0,3.0,2.0,,2.0,2.0,6.0,1.0,41.0,8.0,1.0,4.0,-0.13094882998904192,-0.4582733404023898,8_3,0.0,1681.0,False,36.1,-1.2470898012920557,5387.54588745977,-20.42061399611169
2.0,3,8,1.0,1.001001,1998,0.0,2.0,5.0,,1.0,1.0,5.0,2.0,55.0,2.0,,4.0,-0.06145509675932507,-0.804096475261494,8_3,1.0,3025.0,False,36.1,-1.2470898012920557,5387.54588745977,-20.42061399611169
2.0,3,8,1.0,1.001001,1998,0.0,1.0,7.0,,1.0,1.0,5.0,1.0,66.0,2.0,4.0,5.0,0.20079583789793734,-1.1499196101205982,8_3,0.0,4356.0,False,36.1,-1.2470898012920557,5387.54588745977,-20.42061399611169
